Album URL,Album Caption,Img URL,Img caption,DON,Notes
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796833&size=full&album=1&collection=823355&parent=74101,"Saratoga, Mt. Pleasant, Woy Woy
Digital Order Number: a106212",a106212,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=71814,"[Scenes of Blackheath, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796111&size=full&album=1&collection=823299&parent=71814,"The Fernery, Evans Lookout
Digital Order Number: a105044",a105044,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796112&size=full&album=1&collection=823299&parent=71814,"The Fernery
Digital Order Number: a105045",a105045,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796113&size=full&album=1&collection=823299&parent=71814,"The Tunnel, Grand Canyon
Digital Order Number: a105046",a105046,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796114&size=full&album=1&collection=823299&parent=71814,"Looking Upward, Cathedral, Grand Canyon
Digital Order Number: a105047",a105047,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796115&size=full&album=1&collection=823299&parent=71814,"Looking Upward, Cathedral, Grand Canyon
Digital Order Number: a105048",a105048,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796116&size=full&album=1&collection=823299&parent=71814,"The Cathedral, Underground River
Digital Order Number: a105049",a105049,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796117&size=full&album=1&collection=823299&parent=71814,"In Grand Canyon
Digital Order Number: a105050",a105050,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796118&size=full&album=1&collection=823299&parent=71814,"Underground River, Grand Canyon
Digital Order Number: a105051",a105051,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796119&size=full&album=1&collection=823299&parent=71814,"Underground River, Grand Canyon
Digital Order Number: a105052",a105052,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796120&size=full&album=1&collection=823299&parent=71814,"Ripple Falls, Grand Canyon
Digital Order Number: a105053",a105053,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796121&size=full&album=1&collection=823299&parent=71814,"[In Centennial Glen]
Digital Order Number: a105054",a105054,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796123&size=full&album=1&collection=823299&parent=71814,"Ascending Evans Lookout
Digital Order Number: a105056",a105056,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796124&size=full&album=1&collection=823299&parent=71814,"Underground River
Digital Order Number: a105057",a105057,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796126&size=full&album=1&collection=823299&parent=71814,"Centennial Fall
Digital Order Number: a105059",a105059,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72298,"[Scenes of Blue Mountains and Katoomba town, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796420&size=full&album=1&collection=823289&parent=72298,"Lane Cove, Hunters Hill
Digital Order Number: a105370",a105370,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796421&size=full&album=1&collection=823289&parent=72298,"Lane Cove, Hunters Hill
Digital Order Number: a105371",a105371,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796422&size=full&album=1&collection=823289&parent=72298,"Parramatta River, Hunters Hill, N.S.W.
Digital Order Number: a105372",a105372,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796423&size=full&album=1&collection=823289&parent=72298,"Three Sisters, Katoomba
Digital Order Number: a105373",a105373,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796424&size=full&album=1&collection=823289&parent=72298,"Echo Point Lookout, Katoomba
Digital Order Number: a105374",a105374,
